word	homonym	type	gradation	type_note	grad_note
ajastus		39			
ajatella		67	C		
ajatelma		10			
ajatollah		5			
ajaton		34	C		
ajattaa		53	C		
ajattelematon		34	C		
ajattelemattomasti		99			
ajattelemattomuus		40			
ajattelija		12			
ajattelu		2			
ajattelukyky					
ajattelukykyinen					
ajattelutapa					
ajatteluttaa		53	C		
ajattelutyö					
ajattomasti		99			
ajattomuus		40			
ajatuksekas		41	A		
ajatuksellinen		38			
ajatuksellisesti		99			
ajatuksenjuoksu					
ajatuksenkulku					
ajatuksenriento					
ajatuksensiirto					
ajatuksenvapaus					
ajatukseton		34	C		
ajatuksettomasti		99			
ajatuksettomuus		40			
-ajatuksinen		38			
ajatus		39			
ajatusharha					
ajatuskatko		1			
ajatusketju					
ajatuskoe					
ajatuskupla					
ajatusmaailma					
ajatusrakennelma					
ajatussisällys					
ajatussisältö					
ajatussuunta					
ajatustapa					
ajatustenlukija					
ajatustenluku					
ajatustensiirto					
ajatustenvaihto					
ajatustoiminta					
ajatustyö					
ajatusviiva					
ajatusvirhe					
ajatusvoimistelu					
ajatusyhteys					
ajautua		52	F		
ajelehtia		61	F		
ajella		67			
ajelu		2			
ajeluttaa		53	C		
ajettavuus		40			
ajettua		52	C		
ajettuma		10			
ajetuksissa		99			
ajo		1			
ajoaika		9	D		
ajoankkuri					
ajoharjoittelu					
ajoharjoittelurata					
ajoissa		99			
ajoittaa		53	C		
ajoittain		99			
ajoittainen		38			
ajoittaisuus		40			
ajoittua		52	C		
ajoitus		39			
ajojahti		5	F		
ajojää					
ajokaista					
ajokas	1	41	A		
ajokeli					
ajokelpoinen					
ajokielto					
ajokilometri					
ajokki		5	A		
ajokoe					
ajokoira					
ajokoirametsästys					
ajokortti					
ajokunto					
ajokuntoinen					
ajolinja					
ajolähtö					
ajomatka					
ajomestari					
ajometsästys					
ajomies					
ajomiina					
ajonestin					
ajonestolaite					
ajoneuvo					
ajoneuvoyhdistelmä					
ajonopeus					
ajo-ohje					
ajo-ominaisuus					
ajo-opetus					
ajopeli					
ajopiirturi					
ajoporo		1			
ajopuu					
ajopuuteoria					
ajopyynti					
ajopäiväkirja					
ajorata					
ajos		39			
ajosuunta					
ajotaito					
ajotekniikka					
ajotie					
ajotietokone					
ajotilanne					
ajoturvallisuus					
ajoura					
ajovalot					
ajoverkko					
ajoviima					
ajuri		6			
ajuruoho					
akaatti		5	C		
akallinen		38			
akana		12			
akankaali					
akansieni					
akantti		5	C		
akanvirta					
akasia		12			
akateemikko		4	A		
akateeminen		38			
akateemisesti		99			
akateemisuus		40			
akatemia		12			
akileija		9			
akilleenkantapää					
akillesjänne					
akka		9	A		
akkainlehti					
akkamainen		38			
akkamaisesti		99			
akkamaisuus		40			
akkautua		52	F		
akkavalta					
akklimatisaatio		3			
akklimatisoida		62			
akklimatisointi		5	J		
akklimatisoitua		52	F		
akkommodaatio		3			
akkommodaatiokyky					
akkreditoida		62			
akkreditointi		5	J		
akku		1	A		
akkukäyttöinen					
akkulaturi					
akkumulaattori		6			
akkuna		12			
akkusatiivi		5			
akkutoiminen					
akne		8			
akoittua		52	C		
akordi		5			
akrobaatti		5	C		
akrobatia		12			
akronyymi		5			
akryylimaalaus		39			
akryylimuovi					
akryyliväri					
akseli		6			
akselikuormitus					
-akselinen		38			
akselintappi					
akselipaino					
akselisto		1			
akseliteho					
akselivallat					
akseliväli					
aksentti		5	C		
aksenttimerkki					
akseptantti		5	C		
akseptata		73			
akseptaus		39			
aksepti		5			
akseptoida		62			
akseptointi		5	J		
aksiaalinen		38			
aksiaalisesti		99			
aksiaalisuus		40			
aksiomaattinen		38			
aksiomaattisesti		99			
aksiomaattisuus		40			
aksiomi		5			
aksiooma		10			
akti		5			
aktiivat		13			
aktiivi		5			
aktiivihiili					
aktiivihiilisuodatin					
aktiivijousitus					
aktiiviloma					
aktiivimuoto					
aktiivinen		38			
aktiivipalvelus					
aktiivisesti		99			
aktiivistaa		53			
aktiivistua		52			
aktiivisuus		40			
aktiiviupseeri					
aktiiviurheilija					
aktiiviväestö					
aktio		3			
aktivismi		5			
aktivisti		5			
aktiviteetti		5	C		
aktivoida		62			
aktivointi		5	J		
aktivoitua		52	F		
aktuaalinen		38			
aktuaalisesti		99			
aktuaalistaa		53			
aktuaalistua		52			
aktuaalisuus		40			
aktuaari		5			
aktualisoida		62			
aktualisointi		5	J		
aktualisoitua		52	F		
aktuelli		5			
akuhieronta					
akuhoito					
akunlaturi					
akupiste					
akupunktuuri		6			
akupunktuurineula					
akupunktuuripiste					
akustiikka		9	A		
akustiikkalevy					
akustinen		38			
akustisesti		99			
akusto		2			
akuutisti		99			
akuutti		5	C		
akuuttinen		38			
akvaario		3			
akvaariokala					
akvaariokasvi					
akvamariini		5			
akvarelli		5			
akvarelliliitu					
akvarelliväri					
akvatinta		9			
akvaviitti		5	C		
à la		99			
ala		9			
ala-					
ala-arvoinen					
ala-arvoisesti		99			
ala-arvoisuus					
ala-aste					
alabasteri		6			
à la carte		8			
à la carte -annos					
aladobi		5			
alahammas					
alahanka					
alahuone					
alahuuli					
alaikäinen					
alaikäisyys					
alaikäraja		9			
alainen		38			
alaisuus		40			
alajuoksu					
alakansakoulu					
alakansi					
alakantissa		99			
alakanttiin		99			
alakautta					
alakerros					
alakerta					
alakierre					
alakierrelyönti					
alakierteinen					
alakkain		99			
alakkainen		38			
alakohta		10	F		
alakoukku					
